State,ENERGY_CONS,NOM_GDP,GOV,AVG_TEMP,REGION,HOUSE_INCOME,AVG_ELEC,C_PRICE,I_TAX,
Alabama,363.50,300151.90,R,65.30,S,62212.00,11.47,N,G,
Alaska,1014.20,67337.40,R,28.40,W,86631.00,21.41,N,N,
Arizona,204.30,508344.50,D,60.70,W,77315.00,12.19,N,F,
Arkansas,342.00,176240.10,R,62.90,S,58700.00,9.73,N,G,
California,173.90,3862171.40,D,58.30,W,95521.00,24.87,Y,G,
Colorado,231.90,520389.00,D,45.60,W,92911.00,11.76,N,F,
Connecticut,189.10,340181.30,D,52.20,NE,91665.00,24.24,Y,G,
Delaware,259.10,93595.10,D,57.80,S,81361.00,12.85,Y,G,
Florida,187.80,1579503.10,R,73.30,S,73311.00,13.53,N,N,
Georgia,256.60,805397.20,R,65.60,S,74632.00,11.06,N,G,
Hawaii,189.30,108022.80,D,66.80,W,95322.00,38.60,N,G,
Idaho,256.40,118790.70,R,43.80,W,74942.00,9.08,N,F,
Illinois,275.80,1082968.00,D,54.70,MW,80306.00,11.75,N,F,
Indiana,371.50,497035.50,R,54.30,MW,69477.00,11.49,N,F,
Iowa,436.60,248922.50,R,50.50,MW,71433.00,9.42,N,G,
Kansas,329.80,226012.30,D,56.30,MW,70333.00,10.80,N,G,
Kentucky,354.00,277746.70,D,58.10,S,61118.00,9.96,N,F,
Louisiana,908.20,309600.60,D,69.60,S,58229.00,8.91,N,G,
Maine,234.80,91081.30,D,44.30,NE,73733.00,20.84,Y,G,
Maryland,190.20,512279.50,D,57.30,S,98678.00,14.34,Y,G,
Massachusetts,181.50,733859.80,D,51.30,NE,99858.00,23.21,Y,G,
Michigan,252.20,658992.30,D,47.40,MW,69183.00,13.68,N,F,
Minnesota,293.60,471820.10,D,43.80,MW,85086.00,12.21,N,G,
Mississippi,365.00,146401.10,R,66.70,S,54203.00,10.95,N,F,
Missouri,270.90,422305.60,R,57.40,MW,68545.00,10.87,N,G,
Montana,337.90,70560.00,R,43.90,W,70804.00,10.97,N,G,
Nebraska,422.60,178420.80,R,50.40,MW,74590.00,9.14,N,G,
Nevada,214.50,239397.60,R,49.90,W,76364.00,13.09,N,N,
New Hampshire,210.30,111102.30,R,46.70,NE,96838.00,22.96,Y,F,
New Jersey,211.30,799305.50,D,55.60,NE,99781.00,15.27,Y,G,
New Mexico,320.80,130201.60,D,55.30,W,62268.00,9.47,N,G,
New York,174.10,2152261.90,D,48.20,NE,82095.00,18.28,Y,G,
North Carolina,227.30,766919.00,D,60.80,S,70804.00,10.61,N,F,
North Dakota,892.10,74112.50,R,42.00,MW,76525.00,8.03,N,G,
Ohio,286.00,872748.30,R,53.50,MW,67769.00,11.04,N,G,
Oklahoma,373.80,254134.20,R,61.80,S,62138.00,9.30,N,G,
Oregon,205.70,316460.70,D,48.00,W,80160.00,10.32,Y,G,
Pennsylvania,277.10,965066.80,D,51.50,NE,73824.00,12.57,Y,F,
Rhode Island,165.80,77322.20,D,52.50,NE,84972.00,21.62,Y,G,
South Carolina,297.70,322259.20,R,64.30,S,67804.00,10.50,N,G,
South Dakota,378.00,72420.90,R,46.70,MW,71810.00,10.49,N,N,
Tennessee,287.90,523239.80,R,60.00,S,67631.00,10.69,N,N,
Texas,460.10,2563508.30,R,68.10,S,75780.00,10.04,N,N,
Utah,248.00,272585.70,R,48.50,W,93421.00,9.03,N,F,
Vermont,174.40,43129.60,R,45.80,NE,81211.00,17.53,Y,G,
Virginia,278.80,707085.30,R,57.50,S,89931.00,10.68,N,G,
Washington,204.00,801515.10,D,48.40,W,94605.00,9.58,Y,F,
West Virginia,470.40,99510.60,R,54.00,S,55948.00,10.26,N,G,
Wisconsin,279.30,413966.80,D,46.30,MW,74631.00,12.72,N,G,
Wyoming,854.20,50171.60,R,41.80,W,72415.00,8.39,N,N,
